"Disease","Symptoms"
"Type 2 Diabetes Mellitus","Increased thirst; frequent urination; unexplained weight loss or gain; fatigue; blurred vision; slow wound healing; recurrent infections"
"Hypothyroidism","Fatigue; weight gain; cold intolerance; constipation; dry skin; hair loss; slowed heart rate; menstrual irregularities"
"Hyperthyroidism","Unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability"
"Hypertension (High Blood Pressure)","Often asymptomatic; headaches (esp. with severe hypertension); dizziness; nosebleeds (rare); shortness of breath if advanced"
"Coronary Artery Disease (Angina)","Chest pain/pressure or discomfort with exertion; shortness of breath; fatigue; pain may radiate to jaw/arm/back; relieved by rest or nitroglycerin"
"Myocardial Infarction (Heart Attack)","Severe chest pain/pressure; pain radiating to jaw/neck/left arm; shortness of breath; sweating; nausea; lightheadedness; sudden weakness"
"Stroke (Ischemic or Hemorrhagic)","Sudden weakness or numbness (face/arm/leg) usually one side; slurred speech; sudden vision trouble; severe headache (esp. hemorrhagic); imbalance; confusion"
"Migraine","Moderate to severe pulsating headache often on one side; nausea/vomiting; sensitivity to light and sound; visual aura in some patients; worsened by activity"
"Tension Headache","Dull, aching head pain; tightness or pressure across forehead or back of head/neck; mild to moderate intensity; not worsened by physical activity"
"Major Depressive Disorder","Persistent low mood; loss of interest or pleasure; changes in appetite or weight; sleep disturbances; fatigue; difficulty concentrating; suicidal thoughts"
"Generalized Anxiety Disorder (GAD)","Excessive worry; restlessness; fatigue; difficulty concentrating; muscle tension; sleep disturbance; irritability"
"Rheumatoid Arthritis","Symmetric joint pain, swelling and stiffness (worse in morning); fatigue; prolonged morning stiffness; small joint involvement (hands, feet)"
"Osteoarthritis","Joint pain worsened with use; stiffness (especially after rest); decreased range of motion; crepitus; commonly affects knees, hips, hands, spine"
"Systemic Lupus Erythematosus (Lupus)","Fatigue; joint pain and swelling; butterfly rash on face; photosensitivity; fever; mouth ulcers; kidney involvement; chest pain from pleurisy"
"Osteoporosis","Often asymptomatic until fracture; back pain from vertebral fractures; loss of height; stooped posture; increased risk of wrist/hip/vertebral fractures"
"Chronic Kidney Disease (CKD)","Fatigue; swelling (edema) in legs/ankles; decreased urine output or changes in urination; nausea; loss of appetite; itching; electrolyte imbalances"
