Disease,Symptoms,symptoms_list,symptoms_text,symptom_count,is_augmented,is_noisy,original_index
Type 2 Diabetes Mellitus,increased thirst; frequent urination; unexplained weight loss or gain; fatigue; blurred vision; slow wound healing; recurrent infections,"['increased thirst', 'frequent urination', 'unexplained weight loss or gain', 'fatigue', 'blurred vision', 'slow wound healing', 'recurrent infections']",increased thirst frequent urination unexplained weight loss or gain fatigue blurred vision slow wound healing recurrent infections,7,True,True,33
Hypothyroidism,fatigue; weight gain; cold intolerance; constipation; dry skin; hair loss; slowed heart rate; menstrual irregularities,"['fatigue', 'weight gain', 'cold intolerance', 'constipation', 'dry skin', 'hair loss', 'slowed heart rate', 'menstrual irregularities']",fatigue weight gain cold intolerance constipation dry skin hair loss slowed heart rate menstrual irregularities,8,True,True,34
Hyperthyroidism,unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability']",unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability,8,True,True,35
Hypertension (High Blood Pressure),often asymptomatic; headaches  esp  with severe hypertension; dizziness; nosebleeds  rare; shortness of breath if advanced,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'dizziness', 'nosebleeds  rare', 'shortness of breath if advanced']",often asymptomatic headaches  esp  with severe hypertension dizziness nosebleeds  rare shortness of breath if advanced,5,True,True,36
Coronary Artery Disease (Angina),chest pain pressure or discomfort with exertion; shortness of breath; fatigue; pain may radiate to jaw arm back; relieved by rest or nitroglycerin,"['chest pain pressure or discomfort with exertion', 'shortness of breath', 'fatigue', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin']",chest pain pressure or discomfort with exertion shortness of breath fatigue pain may radiate to jaw arm back relieved by rest or nitroglycerin,5,True,True,37
Myocardial Infarction (Heart Attack),severe chest pain pressure; pain radiating to jaw neck left arm; shortness of breath; sweating; nausea; lightheadedness; sudden weakness,"['severe chest pain pressure', 'pain radiating to jaw neck left arm', 'shortness of breath', 'sweating', 'nausea', 'lightheadedness', 'sudden weakness']",severe chest pain pressure pain radiating to jaw neck left arm shortness of breath sweating nausea lightheadedness sudden weakness,7,True,True,38
Stroke (Ischemic or Hemorrhagic),sudden weakness or numbness  face arm leg  usually one side; slurred speech; sudden vision trouble; severe headache  esp  hemorrhagic; imbalance; confusion,"['sudden weakness or numbness  face arm leg  usually one side', 'slurred speech', 'sudden vision trouble', 'severe headache  esp  hemorrhagic', 'imbalance', 'confusion']",sudden weakness or numbness  face arm leg  usually one side slurred speech sudden vision trouble severe headache  esp  hemorrhagic imbalance confusion,6,True,True,39
Migraine,moderate to severe pulsating headache often on one side; nausea vomiting; sensitivity to light and sound; visual aura in some patients; worsened by activity,"['moderate to severe pulsating headache often on one side', 'nausea vomiting', 'sensitivity to light and sound', 'visual aura in some patients', 'worsened by activity']",moderate to severe pulsating headache often on one side nausea vomiting sensitivity to light and sound visual aura in some patients worsened by activity,5,True,True,40
Tension Headache,dull  aching head pain; tightness or pressure across forehead or back of head neck; mild to moderate intensity; not worsened by physical activity,"['dull  aching head pain', 'tightness or pressure across forehead or back of head neck', 'mild to moderate intensity', 'not worsened by physical activity']",dull  aching head pain tightness or pressure across forehead or back of head neck mild to moderate intensity not worsened by physical activity,4,True,True,41
Major Depressive Disorder,persistent low mood; loss of interest or pleasure; changes in appetite or weight; sleep disturbances; fatigue; difficulty concentrating; suicidal thoughts,"['persistent low mood', 'loss of interest or pleasure', 'changes in appetite or weight', 'sleep disturbances', 'fatigue', 'difficulty concentrating', 'suicidal thoughts']",persistent low mood loss of interest or pleasure changes in appetite or weight sleep disturbances fatigue difficulty concentrating suicidal thoughts,7,True,True,42
Generalized Anxiety Disorder (GAD),excessive worry; restlessness; fatigue; difficulty concentrating; muscle tension; sleep disturbance; irritability,"['excessive worry', 'restlessness', 'fatigue', 'difficulty concentrating', 'muscle tension', 'sleep disturbance', 'irritability']",excessive worry restlessness fatigue difficulty concentrating muscle tension sleep disturbance irritability,7,True,True,43
Rheumatoid Arthritis,symmetric joint pain  swelling and stiffness  worse in morning; fatigue; prolonged morning stiffness; small joint involvement  hands  feet,"['symmetric joint pain  swelling and stiffness  worse in morning', 'fatigue', 'prolonged morning stiffness', 'small joint involvement  hands  feet']",symmetric joint pain  swelling and stiffness  worse in morning fatigue prolonged morning stiffness small joint involvement  hands  feet,4,True,True,44
Osteoarthritis,joint pain worsened with use; stiffness  especially after rest; decreased range of motion; crepitus; commonly affects knees  hips  hands  spine,"['joint pain worsened with use', 'stiffness  especially after rest', 'decreased range of motion', 'crepitus', 'commonly affects knees  hips  hands  spine']",joint pain worsened with use stiffness  especially after rest decreased range of motion crepitus commonly affects knees  hips  hands  spine,5,True,True,45
Systemic Lupus Erythematosus (Lupus),fatigue; joint pain and swelling; butterfly rash on face; photosensitivity; fever; mouth ulcers; kidney involvement; chest pain from pleurisy,"['fatigue', 'joint pain and swelling', 'butterfly rash on face', 'photosensitivity', 'fever', 'mouth ulcers', 'kidney involvement', 'chest pain from pleurisy']",fatigue joint pain and swelling butterfly rash on face photosensitivity fever mouth ulcers kidney involvement chest pain from pleurisy,8,True,True,46
Osteoporosis,often asymptomatic until fracture; back pain from vertebral fractures; loss of height; stooped posture; increased risk of wrist hip vertebral fractures,"['often asymptomatic until fracture', 'back pain from vertebral fractures', 'loss of height', 'stooped posture', 'increased risk of wrist hip vertebral fractures']",often asymptomatic until fracture back pain from vertebral fractures loss of height stooped posture increased risk of wrist hip vertebral fractures,5,True,True,47
Chronic Kidney Disease (CKD),fatigue; swelling  edema  in legs ankles; decreased urine output or changes in urination; nausa; loss of appetite; itching; electrolyte imbalances,"['fatigue', 'swelling  edema  in legs ankles', 'decreased urine output or changes in urination', 'nausa', 'loss of appetite', 'itching', 'electrolyte imbalances']",fatigue swelling  edema  in legs ankles decreased urine output or changes in urination nausa loss of appetite itching electrolyte imbalances,7,True,True,48
