Disease,Symptoms,symptoms_list,symptoms_text,symptom_count,is_augmented,original_index
Pneumonia,high fever; chest pain when breathing or coughing; shortness of breath; sweating; chills; fatigue,"['high fever', 'chest pain when breathing or coughing', 'shortness of breath', 'sweating', 'chills', 'fatigue']",high fever chest pain when breathing or coughing shortness of breath sweating chills fatigue,6,True,2
Bronchitis,persistent cough  may produce mucus; wheezing; chest discomfort; low grade fever; shortness of breath; fatigue,"['persistent cough  may produce mucus', 'wheezing', 'chest discomfort', 'low grade fever', 'shortness of breath', 'fatigue']",persistent cough  may produce mucus wheezing chest discomfort low grade fever shortness of breath fatigue,6,False,3
Bronchitis,shortness of breath; wheezing; low grade fever; fatigue; chest discomfort,"['shortness of breath', 'wheezing', 'low grade fever', 'fatigue', 'chest discomfort']",shortness of breath wheezing low grade fever fatigue chest discomfort,5,True,3
Bronchitis,shortness of breath; fatigue; wheezing; chest discomfort; low grade fever,"['shortness of breath', 'fatigue', 'wheezing', 'chest discomfort', 'low grade fever']",shortness of breath fatigue wheezing chest discomfort low grade fever,5,True,3
Bronchitis,persistent cough  may produce mucus; wheezing; chest discomfort; low grade fever; shortness of breath; fatigue,"['persistent cough  may produce mucus', 'wheezing', 'chest discomfort', 'low grade fever', 'shortness of breath', 'fatigue']",persistent cough  may produce mucus wheezing chest discomfort low grade fever shortness of breath fatigue,6,True,3
Asthma,recurrent wheeze; shortness of breath; chest tightness; coughing  worse at night early morning; triggers  allergens  exercise,"['recurrent wheeze', 'shortness of breath', 'chest tightness', 'coughing  worse at night early morning', 'triggers  allergens  exercise']",recurrent wheeze shortness of breath chest tightness coughing  worse at night early morning triggers  allergens  exercise,5,False,4
Asthma,recurrent wheeze; dyspnea; chest tightness; coughing  worse at night early morning; triggers  allergens  exercise,"['recurrent wheeze', 'dyspnea', 'chest tightness', 'coughing  worse at night early morning', 'triggers  allergens  exercise']",recurrent wheeze dyspnea chest tightness coughing  worse at night early morning triggers  allergens  exercise,5,True,4
Asthma,shortness of breath; coughing  worse at night early morning; palpitations; recurrent wheeze; triggers  allergens  exercise; chest tightness,"['shortness of breath', 'coughing  worse at night early morning', 'palpitations', 'recurrent wheeze', 'triggers  allergens  exercise', 'chest tightness']",shortness of breath coughing  worse at night early morning palpitations recurrent wheeze triggers  allergens  exercise chest tightness,6,True,4
Asthma,shortness of breath; coughing  worse at night early morning; sneezing; chest tightness; recurrent wheeze; triggers  allergens  exercise,"['shortness of breath', 'coughing  worse at night early morning', 'sneezing', 'chest tightness', 'recurrent wheeze', 'triggers  allergens  exercise']",shortness of breath coughing  worse at night early morning sneezing chest tightness recurrent wheeze triggers  allergens  exercise,6,True,4
Allergic Rhinitis (Hay Fever),sneezing; itchy  watery eyes; runny or congested nose; post nasal drip; itchy throat; seasonal or perennial pattern,"['sneezing', 'itchy  watery eyes', 'runny or congested nose', 'post nasal drip', 'itchy throat', 'seasonal or perennial pattern']",sneezing itchy  watery eyes runny or congested nose post nasal drip itchy throat seasonal or perennial pattern,6,False,5
Allergic Rhinitis (Hay Fever),sneezing; itchy  watery eyes; runny or congested nose; post nasal drip; itchy throat; seasonal or perennial pattern; nasal congestion,"['sneezing', 'itchy  watery eyes', 'runny or congested nose', 'post nasal drip', 'itchy throat', 'seasonal or perennial pattern', 'nasal congestion']",sneezing itchy  watery eyes runny or congested nose post nasal drip itchy throat seasonal or perennial pattern nasal congestion,7,True,5
Allergic Rhinitis (Hay Fever),sneezing; itchy  watery eyes; runny or congested nose; post nasal drip; itchy throat; seasonal or perennial pattern; sore throat,"['sneezing', 'itchy  watery eyes', 'runny or congested nose', 'post nasal drip', 'itchy throat', 'seasonal or perennial pattern', 'sore throat']",sneezing itchy  watery eyes runny or congested nose post nasal drip itchy throat seasonal or perennial pattern sore throat,7,True,5
Allergic Rhinitis (Hay Fever),itchy  watery eyes; seasonal or perennial pattern; itchy throat; runny or congested nose; post nasal drip; sneezing,"['itchy  watery eyes', 'seasonal or perennial pattern', 'itchy throat', 'runny or congested nose', 'post nasal drip', 'sneezing']",itchy  watery eyes seasonal or perennial pattern itchy throat runny or congested nose post nasal drip sneezing,6,True,5
Sinusitis,facial pain pressure; nasal congestion; thick nasal discharge  yellow green; reduced sense of smell; headache; dental pain; cough,"['facial pain pressure', 'nasal congestion', 'thick nasal discharge  yellow green', 'reduced sense of smell', 'headache', 'dental pain', 'cough']",facial pain pressure nasal congestion thick nasal discharge  yellow green reduced sense of smell headache dental pain cough,7,False,6
Sinusitis,facial pain pressure; nasal congestion; thick nasal discharge  yellow green; reduced sense of smell; headache; dental pain; cough,"['facial pain pressure', 'nasal congestion', 'thick nasal discharge  yellow green', 'reduced sense of smell', 'headache', 'dental pain', 'cough']",facial pain pressure nasal congestion thick nasal discharge  yellow green reduced sense of smell headache dental pain cough,7,True,6
Sinusitis,facial pain pressure; nasal congestion; thick nasal discharge  yellow green; headache; dental pain; cough,"['facial pain pressure', 'nasal congestion', 'thick nasal discharge  yellow green', 'headache', 'dental pain', 'cough']",facial pain pressure nasal congestion thick nasal discharge  yellow green headache dental pain cough,6,True,6
Sinusitis,facial pain pressure; nasal congestion; thick nasal discharge  yellow green; reduced sense of smell; headache; dental pain; cough; difficulty concentrating,"['facial pain pressure', 'nasal congestion', 'thick nasal discharge  yellow green', 'reduced sense of smell', 'headache', 'dental pain', 'cough', 'difficulty concentrating']",facial pain pressure nasal congestion thick nasal discharge  yellow green reduced sense of smell headache dental pain cough difficulty concentrating,8,True,6
Strep Throat,sudden severe throat pain; pain on swallowing; fever; swollen tender lymph nodes in neck; white patches on tonsils; absent cough,"['sudden severe throat pain', 'pain on swallowing', 'fever', 'swollen tender lymph nodes in neck', 'white patches on tonsils', 'absent cough']",sudden severe throat pain pain on swallowing fever swollen tender lymph nodes in neck white patches on tonsils absent cough,6,False,7
Strep Throat,white patches on tonsils; sudden severe throat pain; absent cough; fever; pain on swallowing,"['white patches on tonsils', 'sudden severe throat pain', 'absent cough', 'fever', 'pain on swallowing']",white patches on tonsils sudden severe throat pain absent cough fever pain on swallowing,5,True,7
Strep Throat,sudden severe throat pain; pain on swallowing; elevated temperature; swollen tender lymph nodes in neck; white patches on tonsils; absent cough,"['sudden severe throat pain', 'pain on swallowing', 'elevated temperature', 'swollen tender lymph nodes in neck', 'white patches on tonsils', 'absent cough']",sudden severe throat pain pain on swallowing elevated temperature swollen tender lymph nodes in neck white patches on tonsils absent cough,6,True,7
Strep Throat,sudden severe throat pain; pain on swallowing; fever; swollen tender lymph nodes in neck; white patches on tonsils; absent cough,"['sudden severe throat pain', 'pain on swallowing', 'fever', 'swollen tender lymph nodes in neck', 'white patches on tonsils', 'absent cough']",sudden severe throat pain pain on swallowing fever swollen tender lymph nodes in neck white patches on tonsils absent cough,6,True,7
Tonsillitis,throat pain; swollen enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands,"['throat pain', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'fever', 'bad breath', 'swollen neck glands']",throat pain swollen enlarged tonsils often with white or yellow patches painful swallowing fever bad breath swollen neck glands,6,False,8
Tonsillitis,throat pain; swollen enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands,"['throat pain', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'fever', 'bad breath', 'swollen neck glands']",throat pain swollen enlarged tonsils often with white or yellow patches painful swallowing fever bad breath swollen neck glands,6,True,8
Tonsillitis,throat pain; swollen enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands,"['throat pain', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'fever', 'bad breath', 'swollen neck glands']",throat pain swollen enlarged tonsils often with white or yellow patches painful swallowing fever bad breath swollen neck glands,6,True,8
Tonsillitis,throat pain; swollen enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands,"['throat pain', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'fever', 'bad breath', 'swollen neck glands']",throat pain swollen enlarged tonsils often with white or yellow patches painful swallowing fever bad breath swollen neck glands,6,True,8
Gastroenteritis (Stomach Flu),nausea; vomiting; watery diarrhea; abdominal cramps; low grade fever; dehydration risk; muscle aches,"['nausea', 'vomiting', 'watery diarrhea', 'abdominal cramps', 'low grade fever', 'dehydration risk', 'muscle aches']",nausea vomiting watery diarrhea abdominal cramps low grade fever dehydration risk muscle aches,7,False,9
Gastroenteritis (Stomach Flu),nausea; vomiting; watery diarrhea; abdominal cramps; low grade fever; dehydration risk; muscle aches; heartburn,"['nausea', 'vomiting', 'watery diarrhea', 'abdominal cramps', 'low grade fever', 'dehydration risk', 'muscle aches', 'heartburn']",nausea vomiting watery diarrhea abdominal cramps low grade fever dehydration risk muscle aches heartburn,8,True,9
Gastroenteritis (Stomach Flu),nausea; vomiting; watery diarrhea; abdominal cramps; low grade fever; dehydration risk; muscle aches; constipation,"['nausea', 'vomiting', 'watery diarrhea', 'abdominal cramps', 'low grade fever', 'dehydration risk', 'muscle aches', 'constipation']",nausea vomiting watery diarrhea abdominal cramps low grade fever dehydration risk muscle aches constipation,8,True,9
Gastroenteritis (Stomach Flu),sick to stomach; vomiting; watery diarrhea; abdominal cramps; low grade fever; dehydration risk; muscle aches,"['sick to stomach', 'vomiting', 'watery diarrhea', 'abdominal cramps', 'low grade fever', 'dehydration risk', 'muscle aches']",sick to stomach vomiting watery diarrhea abdominal cramps low grade fever dehydration risk muscle aches,7,True,9
Food Poisoning,sudden nausea; vomiting; severe abdominal cramps; diarrhea  may be bloody depending on cause; fever; weakness; dehydration,"['sudden nausea', 'vomiting', 'severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'fever', 'weakness', 'dehydration']",sudden nausea vomiting severe abdominal cramps diarrhea  may be bloody depending on cause fever weakness dehydration,7,False,10
Food Poisoning,severe abdominal cramps; diarrhea  may be bloody depending on cause; nausea; emesis; elevated temperature; dehydration; weakness; sudden nausea,"['severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'nausea', 'emesis', 'elevated temperature', 'dehydration', 'weakness', 'sudden nausea']",severe abdominal cramps diarrhea  may be bloody depending on cause nausea emesis elevated temperature dehydration weakness sudden nausea,8,True,10
Food Poisoning,sudden nausea; vomiting; severe abdominal cramps; diarrhea  may be bloody depending on cause; fever; weakness; dehydration,"['sudden nausea', 'vomiting', 'severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'fever', 'weakness', 'dehydration']",sudden nausea vomiting severe abdominal cramps diarrhea  may be bloody depending on cause fever weakness dehydration,7,True,10
Food Poisoning,sudden nausea; vomiting; severe abdominal cramps; diarrhea  may be bloody depending on cause; fever; weakness; dehydration,"['sudden nausea', 'vomiting', 'severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'fever', 'weakness', 'dehydration']",sudden nausea vomiting severe abdominal cramps diarrhea  may be bloody depending on cause fever weakness dehydration,7,True,10
Gastritis,upper abdominal pain or burning; bloating; nausea; vomiting; belching; loss of appetite; sometimes dark tarry stools if bleeding,"['upper abdominal pain or burning', 'bloating', 'nausea', 'vomiting', 'belching', 'loss of appetite', 'sometimes dark tarry stools if bleeding']",upper abdominal pain or burning bloating nausea vomiting belching loss of appetite sometimes dark tarry stools if bleeding,7,False,11
Gastritis,upper abdominal pain or burning; bloating; nausea; emesis; belching; loss of appetite; sometimes dark tarry stools if bleeding; vomiting,"['upper abdominal pain or burning', 'bloating', 'nausea', 'emesis', 'belching', 'loss of appetite', 'sometimes dark tarry stools if bleeding', 'vomiting']",upper abdominal pain or burning bloating nausea emesis belching loss of appetite sometimes dark tarry stools if bleeding vomiting,8,True,11
Gastritis,belching; nausea; loss of appetite; bloating; sometimes dark tarry stools if bleeding; vomiting; upper abdominal pain or burning,"['belching', 'nausea', 'loss of appetite', 'bloating', 'sometimes dark tarry stools if bleeding', 'vomiting', 'upper abdominal pain or burning']",belching nausea loss of appetite bloating sometimes dark tarry stools if bleeding vomiting upper abdominal pain or burning,7,True,11
Gastritis,upper abdominal pain or burning; bloating; sick to stomach; vomiting; belching; loss of appetite; sometimes dark tarry stools if bleeding,"['upper abdominal pain or burning', 'bloating', 'sick to stomach', 'vomiting', 'belching', 'loss of appetite', 'sometimes dark tarry stools if bleeding']",upper abdominal pain or burning bloating sick to stomach vomiting belching loss of appetite sometimes dark tarry stools if bleeding,7,True,11
Peptic Ulcer Disease,burning or gnawing epigastric pain  better worse with meals depending on type; bloating; nausea; heartburn; possible vomiting or gi bleeding,"['burning or gnawing epigastric pain  better worse with meals depending on type', 'bloating', 'nausea', 'heartburn', 'possible vomiting or gi bleeding']",burning or gnawing epigastric pain  better worse with meals depending on type bloating nausea heartburn possible vomiting or gi bleeding,5,False,12
Peptic Ulcer Disease,burning or gnawing epigastric pain  better worse with meals depending on type; bloating; nausea; heartburn; possible vomiting or gi bleeding,"['burning or gnawing epigastric pain  better worse with meals depending on type', 'bloating', 'nausea', 'heartburn', 'possible vomiting or gi bleeding']",burning or gnawing epigastric pain  better worse with meals depending on type bloating nausea heartburn possible vomiting or gi bleeding,5,True,12
Peptic Ulcer Disease,bloating; queasy; heartburn; possible vomiting or gi bleeding; belching,"['bloating', 'queasy', 'heartburn', 'possible vomiting or gi bleeding', 'belching']",bloating queasy heartburn possible vomiting or gi bleeding belching,5,True,12
Peptic Ulcer Disease,burning or gnawing epigastric pain  better worse with meals depending on type; bloating; nausea; heartburn; possible vomiting or gi bleeding,"['burning or gnawing epigastric pain  better worse with meals depending on type', 'bloating', 'nausea', 'heartburn', 'possible vomiting or gi bleeding']",burning or gnawing epigastric pain  better worse with meals depending on type bloating nausea heartburn possible vomiting or gi bleeding,5,True,12
GERD (Acid Reflux),heartburn; acid regurgitation; chest discomfort; chronic cough; hoarseness; sour taste; worse when lying down or after meals,"['heartburn', 'acid regurgitation', 'chest discomfort', 'chronic cough', 'hoarseness', 'sour taste', 'worse when lying down or after meals']",heartburn acid regurgitation chest discomfort chronic cough hoarseness sour taste worse when lying down or after meals,7,False,13
GERD (Acid Reflux),heartburn; acid regurgitation; chest discomfort; chronic cough; hoarseness; sour taste; worse when lying down or after meals; abdominal pain,"['heartburn', 'acid regurgitation', 'chest discomfort', 'chronic cough', 'hoarseness', 'sour taste', 'worse when lying down or after meals', 'abdominal pain']",heartburn acid regurgitation chest discomfort chronic cough hoarseness sour taste worse when lying down or after meals abdominal pain,8,True,13
GERD (Acid Reflux),chest discomfort; hoarseness; sour taste; acid regurgitation; heartburn; worse when lying down or after meals; chronic cough,"['chest discomfort', 'hoarseness', 'sour taste', 'acid regurgitation', 'heartburn', 'worse when lying down or after meals', 'chronic cough']",chest discomfort hoarseness sour taste acid regurgitation heartburn worse when lying down or after meals chronic cough,7,True,13
GERD (Acid Reflux),heartburn; acid regurgitation; chest discomfort; chronic cough; hoarseness; sour taste; worse when lying down or after meals; constipation,"['heartburn', 'acid regurgitation', 'chest discomfort', 'chronic cough', 'hoarseness', 'sour taste', 'worse when lying down or after meals', 'constipation']",heartburn acid regurgitation chest discomfort chronic cough hoarseness sour taste worse when lying down or after meals constipation,8,True,13
Appendicitis,periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; nausea; vomiting; fever; loss of appetite; rebound tenderness,"['periumbilical pain that migrates to right lower abdomen', 'worsening abdominal pain', 'nausea', 'vomiting', 'fever', 'loss of appetite', 'rebound tenderness']",periumbilical pain that migrates to right lower abdomen worsening abdominal pain nausea vomiting fever loss of appetite rebound tenderness,7,False,14
Appendicitis,periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; nausea; vomiting; pyrexia; loss of appetite; rebound tenderness; bloating,"['periumbilical pain that migrates to right lower abdomen', 'worsening abdominal pain', 'nausea', 'vomiting', 'pyrexia', 'loss of appetite', 'rebound tenderness', 'bloating']",periumbilical pain that migrates to right lower abdomen worsening abdominal pain nausea vomiting pyrexia loss of appetite rebound tenderness bloating,8,True,14
Appendicitis,periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; nausea; vomiting; fever; loss of appetite; rebound tenderness,"['periumbilical pain that migrates to right lower abdomen', 'worsening abdominal pain', 'nausea', 'vomiting', 'fever', 'loss of appetite', 'rebound tenderness']",periumbilical pain that migrates to right lower abdomen worsening abdominal pain nausea vomiting fever loss of appetite rebound tenderness,7,True,14
Appendicitis,periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; queasy; vomiting; fever; loss of appetite; heartburn,"['periumbilical pain that migrates to right lower abdomen', 'worsening abdominal pain', 'queasy', 'vomiting', 'fever', 'loss of appetite', 'heartburn']",periumbilical pain that migrates to right lower abdomen worsening abdominal pain queasy vomiting fever loss of appetite heartburn,7,True,14
Cholecystitis / Gallstones,sudden severe pain in right upper abdomen or right shoulder; nausea; vomiting; fever; tenderness over gallbladder; pain after fatty meals,"['sudden severe pain in right upper abdomen or right shoulder', 'nausea', 'vomiting', 'fever', 'tenderness over gallbladder', 'pain after fatty meals']",sudden severe pain in right upper abdomen or right shoulder nausea vomiting fever tenderness over gallbladder pain after fatty meals,6,False,15
Cholecystitis / Gallstones,sudden severe pain in right upper abdomen or right shoulder; nausea; vomiting; fever; tenderness over gallbladder; pain after fatty meals; diarrhea,"['sudden severe pain in right upper abdomen or right shoulder', 'nausea', 'vomiting', 'fever', 'tenderness over gallbladder', 'pain after fatty meals', 'diarrhea']",sudden severe pain in right upper abdomen or right shoulder nausea vomiting fever tenderness over gallbladder pain after fatty meals diarrhea,7,True,15
Cholecystitis / Gallstones,sudden severe pain in right upper abdomen or right shoulder; nausea; throwing up; fever; tenderness over gallbladder; pain after fatty meals,"['sudden severe pain in right upper abdomen or right shoulder', 'nausea', 'throwing up', 'fever', 'tenderness over gallbladder', 'pain after fatty meals']",sudden severe pain in right upper abdomen or right shoulder nausea throwing up fever tenderness over gallbladder pain after fatty meals,6,True,15
Cholecystitis / Gallstones,sudden severe pain in right upper abdomen or right shoulder; nausea; vomiting; fever; tenderness over gallbladder; pain after fatty meals,"['sudden severe pain in right upper abdomen or right shoulder', 'nausea', 'vomiting', 'fever', 'tenderness over gallbladder', 'pain after fatty meals']",sudden severe pain in right upper abdomen or right shoulder nausea vomiting fever tenderness over gallbladder pain after fatty meals,6,True,15
Hepatitis (viral),fatigue; jaundice  yellowing of skin eyes; dark urine; pale stools; abdominal discomfort  right upper quadrant; nausea; loss of appetite,"['fatigue', 'jaundice  yellowing of skin eyes', 'dark urine', 'pale stools', 'abdominal discomfort  right upper quadrant', 'nausea', 'loss of appetite']",fatigue jaundice  yellowing of skin eyes dark urine pale stools abdominal discomfort  right upper quadrant nausea loss of appetite,7,False,16
Hepatitis (viral),weakness; jaundice  yellowing of skin eyes; dark urine; pale stools; abdominal discomfort  right upper quadrant; nausea; loss of appetite,"['weakness', 'jaundice  yellowing of skin eyes', 'dark urine', 'pale stools', 'abdominal discomfort  right upper quadrant', 'nausea', 'loss of appetite']",weakness jaundice  yellowing of skin eyes dark urine pale stools abdominal discomfort  right upper quadrant nausea loss of appetite,7,True,16
Hepatitis (viral),fatigue; jaundice  yellowing of skin eyes; dark urine; abdominal discomfort  right upper quadrant; nausea; decreased appetite,"['fatigue', 'jaundice  yellowing of skin eyes', 'dark urine', 'abdominal discomfort  right upper quadrant', 'nausea', 'decreased appetite']",fatigue jaundice  yellowing of skin eyes dark urine abdominal discomfort  right upper quadrant nausea decreased appetite,6,True,16
Hepatitis (viral),fatigue; jaundice  yellowing of skin eyes; dark urine; pale stools; abdominal discomfort  right upper quadrant; nausea; anorexia; thirst,"['fatigue', 'jaundice  yellowing of skin eyes', 'dark urine', 'pale stools', 'abdominal discomfort  right upper quadrant', 'nausea', 'anorexia', 'thirst']",fatigue jaundice  yellowing of skin eyes dark urine pale stools abdominal discomfort  right upper quadrant nausea anorexia thirst,8,True,16
Pancreatitis,severe constant upper abdominal pain radiating to the back; nausea; vomiting; fever; rapid pulse; abdominal tenderness,"['severe constant upper abdominal pain radiating to the back', 'nausea', 'vomiting', 'fever', 'rapid pulse', 'abdominal tenderness']",severe constant upper abdominal pain radiating to the back nausea vomiting fever rapid pulse abdominal tenderness,6,False,17
Pancreatitis,severe constant upper abdominal pain radiating to the back; sick to stomach; vomiting; fever; rapid pulse; abdominal tenderness; bloating,"['severe constant upper abdominal pain radiating to the back', 'sick to stomach', 'vomiting', 'fever', 'rapid pulse', 'abdominal tenderness', 'bloating']",severe constant upper abdominal pain radiating to the back sick to stomach vomiting fever rapid pulse abdominal tenderness bloating,7,True,17
Pancreatitis,severe constant upper abdominal pain radiating to the back; nausea; vomiting; fever; rapid pulse; abdominal tenderness; bloating,"['severe constant upper abdominal pain radiating to the back', 'nausea', 'vomiting', 'fever', 'rapid pulse', 'abdominal tenderness', 'bloating']",severe constant upper abdominal pain radiating to the back nausea vomiting fever rapid pulse abdominal tenderness bloating,7,True,17
Pancreatitis,nausea; severe constant upper abdominal pain radiating to the back; fever; vomiting; heartburn; abdominal tenderness,"['nausea', 'severe constant upper abdominal pain radiating to the back', 'fever', 'vomiting', 'heartburn', 'abdominal tenderness']",nausea severe constant upper abdominal pain radiating to the back fever vomiting heartburn abdominal tenderness,6,True,17
Urinary Tract Infection (UTI),burning or dysuria; frequent urge to urinate; small amounts of urine; cloudy or strong smelling urine; lower abdominal pelvic pain; sometimes hematuria,"['burning or dysuria', 'frequent urge to urinate', 'small amounts of urine', 'cloudy or strong smelling urine', 'lower abdominal pelvic pain', 'sometimes hematuria']",burning or dysuria frequent urge to urinate small amounts of urine cloudy or strong smelling urine lower abdominal pelvic pain sometimes hematuria,6,False,18
Urinary Tract Infection (UTI),cloudy or strong smelling urine; small amounts of urine; burning or dysuria; sometimes hematuria; lower abdominal pelvic pain; frequent urge to urinate,"['cloudy or strong smelling urine', 'small amounts of urine', 'burning or dysuria', 'sometimes hematuria', 'lower abdominal pelvic pain', 'frequent urge to urinate']",cloudy or strong smelling urine small amounts of urine burning or dysuria sometimes hematuria lower abdominal pelvic pain frequent urge to urinate,6,True,18
Urinary Tract Infection (UTI),burning or dysuria; frequent urge to urinate; small amounts of urine; cloudy or strong smelling urine; lower abdominal pelvic pain; sometimes hematuria,"['burning or dysuria', 'frequent urge to urinate', 'small amounts of urine', 'cloudy or strong smelling urine', 'lower abdominal pelvic pain', 'sometimes hematuria']",burning or dysuria frequent urge to urinate small amounts of urine cloudy or strong smelling urine lower abdominal pelvic pain sometimes hematuria,6,True,18
Urinary Tract Infection (UTI),burning or dysuria; frequent urge to urinate; small amounts of urine; cloudy or strong smelling urine; lower abdominal pelvic pain,"['burning or dysuria', 'frequent urge to urinate', 'small amounts of urine', 'cloudy or strong smelling urine', 'lower abdominal pelvic pain']",burning or dysuria frequent urge to urinate small amounts of urine cloudy or strong smelling urine lower abdominal pelvic pain,5,True,18
Pyelonephritis (Kidney Infection),high fever; chills; flank  side  or back pain; nausea vomiting; painful frequent urination; cloudy or bloody urine; malaise,"['high fever', 'chills', 'flank  side  or back pain', 'nausea vomiting', 'painful frequent urination', 'cloudy or bloody urine', 'malaise']",high fever chills flank  side  or back pain nausea vomiting painful frequent urination cloudy or bloody urine malaise,7,False,19
Pyelonephritis (Kidney Infection),high fever; chills; flank  side  or back pain; nausea vomiting; painful frequent urination; cloudy or bloody urine; malaise,"['high fever', 'chills', 'flank  side  or back pain', 'nausea vomiting', 'painful frequent urination', 'cloudy or bloody urine', 'malaise']",high fever chills flank  side  or back pain nausea vomiting painful frequent urination cloudy or bloody urine malaise,7,True,19
Pyelonephritis (Kidney Infection),high fever; chills; flank  side  or back pain; nausea vomiting; painful frequent urination; cloudy or bloody urine; malaise,"['high fever', 'chills', 'flank  side  or back pain', 'nausea vomiting', 'painful frequent urination', 'cloudy or bloody urine', 'malaise']",high fever chills flank  side  or back pain nausea vomiting painful frequent urination cloudy or bloody urine malaise,7,True,19
Pyelonephritis (Kidney Infection),high fever; chills; flank  side  or back pain; nausea vomiting; painful frequent urination; cloudy or bloody urine; malaise,"['high fever', 'chills', 'flank  side  or back pain', 'nausea vomiting', 'painful frequent urination', 'cloudy or bloody urine', 'malaise']",high fever chills flank  side  or back pain nausea vomiting painful frequent urination cloudy or bloody urine malaise,7,True,19
