Disease,Symptoms,symptoms_list,symptom_count,symptoms_text,disease_encoded,has_respiratory_symptoms,has_cardiovascular_symptoms,has_gastrointestinal_symptoms,has_genitourinary_symptoms,has_neurological_symptoms,has_dermatological_symptoms,has_musculoskeletal_symptoms,has_endocrine_symptoms,has_severe_indicators,has_mild_indicators,has_chronic_indicators,symptom_diversity,is_augmented,augmentation_type,original_index,is_partial,partial_factor,is_noisy
Peptic Ulcer Disease,Burning or gnawing epigastric pain (better/worse with meals depending on type); bloating; nausea; heartburn; possible vomiting or GI bleeding,"['burning or gnawing epigastric pain  better worse with meals depending on type', 'bloating', 'nausea', 'heartburn', 'possible vomiting or gi bleeding']",5,burning or gnawing epigastric pain  better worse with meals depending on type bloating nausea heartburn possible vomiting or gi bleeding,34,0,1,1,0,0,0,0,0,0,0,0,2,False,original,,,,
GERD (Acid Reflux),Heartburn; acid regurgitation; chest discomfort; chronic cough; hoarseness; sour taste; worse when lying down or after meals,"['heartburn', 'acid regurgitation', 'chest discomfort', 'chronic cough', 'hoarseness', 'sour taste', 'worse when lying down or after meals']",7,heartburn acid regurgitation chest discomfort chronic cough hoarseness sour taste worse when lying down or after meals,14,1,1,0,0,0,0,0,0,0,0,1,2,False,original,,,,
Appendicitis,Periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; nausea; vomiting; fever; loss of appetite; rebound tenderness,"['periumbilical pain that migrates to right lower abdomen', 'worsening abdominal pain', 'nausea', 'vomiting', 'fever', 'loss of appetite', 'rebound tenderness']",7,periumbilical pain that migrates to right lower abdomen worsening abdominal pain nausea vomiting fever loss of appetite rebound tenderness,1,0,0,1,0,0,0,0,0,0,0,0,1,False,original,,,,
Cholecystitis / Gallstones,Sudden severe pain in right upper abdomen or right shoulder; nausea; vomiting; fever; tenderness over gallbladder; pain after fatty meals,"['sudden severe pain in right upper abdomen or right shoulder', 'nausea', 'vomiting', 'fever', 'tenderness over gallbladder', 'pain after fatty meals']",6,sudden severe pain in right upper abdomen or right shoulder nausea vomiting fever tenderness over gallbladder pain after fatty meals,6,0,0,1,1,0,0,0,0,1,0,0,2,False,original,,,,
Hepatitis (viral),Fatigue; jaundice (yellowing of skin/eyes); dark urine; pale stools; abdominal discomfort (right upper quadrant); nausea; loss of appetite,"['fatigue', 'jaundice  yellowing of skin eyes', 'dark urine', 'pale stools', 'abdominal discomfort  right upper quadrant', 'nausea', 'loss of appetite']",7,fatigue jaundice  yellowing of skin eyes dark urine pale stools abdominal discomfort  right upper quadrant nausea loss of appetite,19,0,0,1,1,0,1,0,1,0,0,0,4,False,original,,,,
Pancreatitis,Severe constant upper abdominal pain radiating to the back; nausea; vomiting; fever; rapid pulse; abdominal tenderness,"['severe constant upper abdominal pain radiating to the back', 'nausea', 'vomiting', 'fever', 'rapid pulse', 'abdominal tenderness']",6,severe constant upper abdominal pain radiating to the back nausea vomiting fever rapid pulse abdominal tenderness,32,0,0,1,0,0,0,1,0,1,0,0,2,False,original,,,,
Urinary Tract Infection (UTI),Burning or painful urination; frequent urge to urinate; small amounts of urine; cloudy or strong-smelling urine; lower abdominal/pelvic pain; sometimes blood in urine,"['burning or dysuria', 'frequent urge to urinate', 'small amounts of urine', 'cloudy or strong smelling urine', 'lower abdominal pelvic pain', 'sometimes hematuria']",6,burning or dysuria frequent urge to urinate small amounts of urine cloudy or strong smelling urine lower abdominal pelvic pain sometimes hematuria,46,0,0,1,1,0,0,0,0,0,0,0,2,False,original,,,,
Pyelonephritis (Kidney Infection),High fever; chills; flank (side) or back pain; nausea/vomiting; painful/frequent urination; cloudy or bloody urine; malaise,"['high fever', 'chills', 'flank  side  or back pain', 'nausea vomiting', 'painful frequent urination', 'cloudy or bloody urine', 'malaise']",7,high fever chills flank  side  or back pain nausea vomiting painful frequent urination cloudy or bloody urine malaise,36,0,0,1,1,0,0,1,1,1,0,0,4,False,original,,,,
Kidney Stones,Sudden severe flank or abdominal pain that may radiate to groin; pain comes in waves; blood in urine; nausea; vomiting; urgency/frequency of urination,"['sudden severe flank or abdominal pain that may radiate to groin', 'pain comes in waves', 'hematuria', 'nausea', 'vomiting', 'urgency frequency of urination']",6,sudden severe flank or abdominal pain that may radiate to groin pain comes in waves hematuria nausea vomiting urgency frequency of urination,25,0,0,1,1,0,0,0,1,1,0,0,3,False,original,,,,
Chlamydia Infection,Often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods,"['often asymptomatic', 'abnormal genital discharge', 'burning during urination', 'pelvic pain', 'pain during intercourse', 'in women can cause bleeding between periods']",6,often asymptomatic abnormal genital discharge burning during urination pelvic pain pain during intercourse in women can cause bleeding between periods,5,0,0,0,1,0,0,0,1,0,0,0,2,False,original,,,,
Gonorrhea,Genital discharge (purulent); painful urination; pelvic pain; increased vaginal bleeding; testicular pain in men; sometimes sore throat if oral exposure,"['genital discharge  purulent', 'dysuria', 'pelvic pain', 'increased vaginal bleeding', 'testicular pain in men', 'sometimes throat pain if oral exposure']",6,genital discharge  purulent dysuria pelvic pain increased vaginal bleeding testicular pain in men sometimes throat pain if oral exposure,18,1,0,0,1,0,0,0,0,0,0,0,2,False,original,,,,
Syphilis,"Primary: painless genital sore; Secondary: rash (including palms/soles), mucous lesions, fever, lymphadenopathy; Latent/tertiary: organ damage if untreated","['primary  painless genital sore', 'secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy', 'latent tertiary  organ damage if untreated']",3,primary  painless genital sore secondary  rash  including palms soles   mucous lesions  fever  lymphadenopathy latent tertiary  organ damage if untreated,41,0,0,0,1,0,1,0,0,0,0,0,2,False,original,,,,
Pelvic Inflammatory Disease (PID),Lower abdominal/pelvic pain; abnormal vaginal discharge; fever; painful intercourse; painful urination; irregular menstrual bleeding; infertility risk if untreated,"['lower abdominal pelvic pain', 'abnormal vaginal discharge', 'fever', 'painful intercourse', 'dysuria', 'irregular menstrual bleeding', 'infertility risk if untreated']",7,lower abdominal pelvic pain abnormal vaginal discharge fever painful intercourse dysuria irregular menstrual bleeding infertility risk if untreated,33,0,0,1,1,0,0,0,0,0,0,0,2,False,original,,,,
Vaginal Yeast Infection (Candidiasis),Intense vaginal itching and irritation; thick white 'cottage cheese' discharge; burning with urination; redness/swelling of vulva,"['intense vaginal itching and irritation', 'thick white  cottage cheese  discharge', 'burning with urination', 'redness swelling of vulva']",4,intense vaginal itching and irritation thick white  cottage cheese  discharge burning with urination redness swelling of vulva,48,0,0,0,1,0,1,0,1,1,0,0,3,False,original,,,,
Bacterial Vaginosis,Thin gray or white vaginal discharge; fishy odor (especially after intercourse); vaginal itching or irritation (may be mild or absent),"['thin gray or white vaginal discharge', 'fishy odor  especially after intercourse', 'vaginal itching or irritation  may be mild or absent']",3,thin gray or white vaginal discharge fishy odor  especially after intercourse vaginal itching or irritation  may be mild or absent,3,0,0,0,0,0,1,0,0,0,1,0,1,False,original,,,,
Ectopic Pregnancy,Abdominal or pelvic pain (often one-sided); vaginal bleeding or spotting; dizziness or fainting; shoulder pain (if internal bleeding); missed period,"['abdominal or pelvic pain  often one sided', 'vaginal bleeding or spotting', 'dizziness or fainting', 'shoulder pain  if internal bleeding', 'missed period']",5,abdominal or pelvic pain  often one sided vaginal bleeding or spotting dizziness or fainting shoulder pain  if internal bleeding missed period,10,0,0,1,1,1,0,0,0,0,0,0,3,False,original,,,,
Miscarriage (Spontaneous Abortion),Vaginal bleeding or spotting; cramping abdominal pain; passage of tissue or fluid; decreased pregnancy symptoms; backache,"['vaginal bleeding or spotting', 'cramping abdominal pain', 'passage of tissue or fluid', 'decreased pregnancy symptoms', 'backache']",5,vaginal bleeding or spotting cramping abdominal pain passage of tissue or fluid decreased pregnancy symptoms backache,28,0,0,1,0,0,0,1,0,0,0,0,2,False,original,,,,
Endometriosis,Chronic pelvic pain (often worse with menstruation); painful intercourse; heavy or irregular periods; infertility; painful bowel or urination during periods,"['chronic pelvic pain  often worse with menstruation', 'painful intercourse', 'heavy or irregular periods', 'infertility', 'painful bowel or urination during periods']",5,chronic pelvic pain  often worse with menstruation painful intercourse heavy or irregular periods infertility painful bowel or urination during periods,11,0,0,0,1,0,0,0,1,0,0,1,2,False,original,,,,
Uterine Fibroids,Heavy or prolonged menstrual bleeding; pelvic pressure or pain; frequent urination; constipation; lower back pain; enlargement of abdomen in large fibroids,"['heavy or prolonged menstrual bleeding', 'pelvic pressure or pain', 'frequent urination', 'constipation', 'lower back pain', 'enlargement of abdomen in large fibroids']",6,heavy or prolonged menstrual bleeding pelvic pressure or pain frequent urination constipation lower back pain enlargement of abdomen in large fibroids,47,0,0,1,1,0,0,1,1,0,0,0,4,False,original,,,,
Endometritis,Pelvic pain; abnormal vaginal discharge; fever; painful intercourse; bleeding after intercourse; abnormal uterine bleeding,"['pelvic pain', 'abnormal vaginal discharge', 'fever', 'painful intercourse', 'bleeding after intercourse', 'abnormal uterine bleeding']",6,pelvic pain abnormal vaginal discharge fever painful intercourse bleeding after intercourse abnormal uterine bleeding,12,0,0,0,1,0,0,0,0,0,0,0,1,False,original,,,,
Iron Deficiency Anemia,Fatigue; weakness; pale skin; shortness of breath on exertion; dizziness; cold hands/feet; brittle nails; pica (craving non-food items),"['fatigue', 'weakness', 'pale skin', 'shortness of breath on exertion', 'dizziness', 'cold hands feet', 'brittle nails', 'pica  craving non food items']",8,fatigue weakness pale skin shortness of breath on exertion dizziness cold hands feet brittle nails pica  craving non food items,24,1,0,0,0,1,1,0,1,0,0,0,4,False,original,,,,
Type 2 Diabetes Mellitus,Increased thirst; frequent urination; unexplained weight loss or gain; fatigue; blurred vision; slow wound healing; recurrent infections,"['increased thirst', 'frequent urination', 'unexplained weight loss or gain', 'fatigue', 'blurred vision', 'slow wound healing', 'recurrent infections']",7,increased thirst frequent urination unexplained weight loss or gain fatigue blurred vision slow wound healing recurrent infections,45,0,0,0,1,0,0,0,1,0,0,1,2,False,original,,,,
Hypothyroidism,Fatigue; weight gain; cold intolerance; constipation; dry skin; hair loss; slowed heart rate; menstrual irregularities,"['fatigue', 'weight gain', 'cold intolerance', 'constipation', 'dry skin', 'hair loss', 'slowed heart rate', 'menstrual irregularities']",8,fatigue weight gain cold intolerance constipation dry skin hair loss slowed heart rate menstrual irregularities,22,0,1,1,0,0,1,0,1,0,0,0,4,False,original,,,,
Hyperthyroidism,Unintended weight loss; heat intolerance; palpitations; tremor; anxiety; increased sweating; frequent bowel movements; irritability,"['unintended weight loss', 'heat intolerance', 'palpitations', 'tremor', 'anxiety', 'increased sweating', 'frequent bowel movements', 'irritability']",8,unintended weight loss heat intolerance palpitations tremor anxiety increased sweating frequent bowel movements irritability,21,0,1,0,0,0,0,0,1,0,0,0,2,False,original,,,,
Hypertension (High Blood Pressure),Often asymptomatic; headaches (esp. with severe hypertension); dizziness; nosebleeds (rare); shortness of breath if advanced,"['often asymptomatic', 'headaches  esp  with severe hypertension', 'dizziness', 'nosebleeds  rare', 'shortness of breath if advanced']",5,often asymptomatic headaches  esp  with severe hypertension dizziness nosebleeds  rare shortness of breath if advanced,20,1,0,0,0,1,0,0,0,1,0,0,2,False,original,,,,
Coronary Artery Disease (Angina),Chest pain/pressure or discomfort with exertion; shortness of breath; fatigue; pain may radiate to jaw/arm/back; relieved by rest or nitroglycerin,"['chest pain pressure or discomfort with exertion', 'shortness of breath', 'fatigue', 'pain may radiate to jaw arm back', 'relieved by rest or nitroglycerin']",5,chest pain pressure or discomfort with exertion shortness of breath fatigue pain may radiate to jaw arm back relieved by rest or nitroglycerin,9,1,1,0,0,0,0,1,1,0,0,0,4,False,original,,,,
Myocardial Infarction (Heart Attack),Severe chest pain/pressure; pain radiating to jaw/neck/left arm; shortness of breath; sweating; nausea; lightheadedness; sudden weakness,"['severe chest pain pressure', 'pain radiating to jaw neck left arm', 'shortness of breath', 'sweating', 'nausea', 'lightheadedness', 'sudden weakness']",7,severe chest pain pressure pain radiating to jaw neck left arm shortness of breath sweating nausea lightheadedness sudden weakness,29,1,1,1,0,1,0,1,0,1,0,0,5,False,original,,,,
Stroke (Ischemic or Hemorrhagic),Sudden weakness or numbness (face/arm/leg) usually one side; slurred speech; sudden vision trouble; severe headache (esp. hemorrhagic); imbalance; confusion,"['sudden weakness or numbness  face arm leg  usually one side', 'slurred speech', 'sudden vision trouble', 'severe headache  esp  hemorrhagic', 'imbalance', 'confusion']",6,sudden weakness or numbness  face arm leg  usually one side slurred speech sudden vision trouble severe headache  esp  hemorrhagic imbalance confusion,40,0,0,0,0,1,0,0,0,1,0,0,1,False,original,,,,
Migraine,Moderate to severe pulsating headache often on one side; nausea/vomiting; sensitivity to light and sound; visual aura in some patients; worsened by activity,"['moderate to severe pulsating headache often on one side', 'nausea vomiting', 'sensitivity to light and sound', 'visual aura in some patients', 'worsened by activity']",5,moderate to severe pulsating headache often on one side nausea vomiting sensitivity to light and sound visual aura in some patients worsened by activity,27,0,0,1,0,1,0,0,0,1,0,0,2,False,original,,,,
Tension Headache,"Dull, aching head pain; tightness or pressure across forehead or back of head/neck; mild to moderate intensity; not worsened by physical activity","['dull  aching head pain', 'tightness or pressure across forehead or back of head neck', 'mild to moderate intensity', 'not worsened by physical activity']",4,dull  aching head pain tightness or pressure across forehead or back of head neck mild to moderate intensity not worsened by physical activity,43,0,0,0,0,0,0,1,0,0,1,0,1,False,original,,,,
Major Depressive Disorder,Persistent low mood; loss of interest or pleasure; changes in appetite or weight; sleep disturbances; fatigue; difficulty concentrating; suicidal thoughts,"['persistent low mood', 'loss of interest or pleasure', 'changes in appetite or weight', 'sleep disturbances', 'fatigue', 'difficulty concentrating', 'suicidal thoughts']",7,persistent low mood loss of interest or pleasure changes in appetite or weight sleep disturbances fatigue difficulty concentrating suicidal thoughts,26,0,0,1,0,0,0,0,1,0,0,1,2,False,original,,,,
Generalized Anxiety Disorder (GAD),Excessive worry; restlessness; fatigue; difficulty concentrating; muscle tension; sleep disturbance; irritability,"['excessive worry', 'restlessness', 'fatigue', 'difficulty concentrating', 'muscle tension', 'sleep disturbance', 'irritability']",7,excessive worry restlessness fatigue difficulty concentrating muscle tension sleep disturbance irritability,17,0,0,0,0,0,0,1,1,0,0,0,2,False,original,,,,
Rheumatoid Arthritis,"Symmetric joint pain, swelling and stiffness (worse in morning); fatigue; prolonged morning stiffness; small joint involvement (hands, feet)","['symmetric joint pain  swelling and stiffness  worse in morning', 'fatigue', 'prolonged morning stiffness', 'small joint involvement  hands  feet']",4,symmetric joint pain  swelling and stiffness  worse in morning fatigue prolonged morning stiffness small joint involvement  hands  feet,37,0,0,0,0,0,1,1,1,0,0,0,3,False,original,,,,
Osteoarthritis,"Joint pain worsened with use; stiffness (especially after rest); decreased range of motion; crepitus; commonly affects knees, hips, hands, spine","['joint pain worsened with use', 'stiffness  especially after rest', 'decreased range of motion', 'crepitus', 'commonly affects knees  hips  hands  spine']",5,joint pain worsened with use stiffness  especially after rest decreased range of motion crepitus commonly affects knees  hips  hands  spine,30,0,0,0,0,0,0,1,0,0,0,0,1,False,original,,,,
Systemic Lupus Erythematosus (Lupus),Fatigue; joint pain and swelling; butterfly rash on face; photosensitivity; fever; mouth ulcers; kidney involvement; chest pain from pleurisy,"['fatigue', 'joint pain and swelling', 'butterfly rash on face', 'photosensitivity', 'fever', 'mouth ulcers', 'kidney involvement', 'chest pain from pleurisy']",8,fatigue joint pain and swelling butterfly rash on face photosensitivity fever mouth ulcers kidney involvement chest pain from pleurisy,42,1,1,0,1,0,1,1,1,0,0,0,6,False,original,,,,
Osteoporosis,Often asymptomatic until fracture; back pain from vertebral fractures; loss of height; stooped posture; increased risk of wrist/hip/vertebral fractures,"['often asymptomatic until fracture', 'back pain from vertebral fractures', 'loss of height', 'stooped posture', 'increased risk of wrist hip vertebral fractures']",5,often asymptomatic until fracture back pain from vertebral fractures loss of height stooped posture increased risk of wrist hip vertebral fractures,31,0,0,0,0,0,0,1,0,0,0,0,1,False,original,,,,
Chronic Kidney Disease (CKD),Fatigue; swelling (edema) in legs/ankles; decreased urine output or changes in urination; nausea; loss of appetite; itching; electrolyte imbalances,"['fatigue', 'swelling  edema  in legs ankles', 'decreased urine output or changes in urination', 'nausea', 'loss of appetite', 'itching', 'electrolyte imbalances']",7,fatigue swelling  edema  in legs ankles decreased urine output or changes in urination nausea loss of appetite itching electrolyte imbalances,7,0,0,1,1,0,1,0,1,0,0,0,4,False,original,,,,
Common Cold,mood changes; runny or nasal congestion; mild cough; low grade fever; mild headache; exhaustion; throat pain; sneezing,"['mood changes', 'runny or nasal congestion', 'mild cough', 'low grade fever', 'mild headache', 'exhaustion', 'throat pain', 'sneezing']",8,mood changes runny or nasal congestion mild cough low grade fever mild headache exhaustion throat pain sneezing,8,1,0,0,0,1,0,0,0,0,1,0,2,True,symptom_variation,0.0,,,
Common Cold,runny or nasal congestion; sneezing; throat pain; mild cough; low grade fever; mild headache; tiredness; mood changes,"['runny or nasal congestion', 'sneezing', 'throat pain', 'mild cough', 'low grade fever', 'mild headache', 'tiredness', 'mood changes']",8,runny or nasal congestion sneezing throat pain mild cough low grade fever mild headache tiredness mood changes,8,1,0,0,0,1,0,0,0,0,1,0,2,True,symptom_variation,0.0,,,
Common Cold,runny or nasal congestion; sneezing; throat pain; mild cough; low grade fever; mild headache; fatigue,"['runny or nasal congestion', 'sneezing', 'throat pain', 'mild cough', 'low grade fever', 'mild headache', 'fatigue']",7,runny or nasal congestion sneezing throat pain mild cough low grade fever mild headache fatigue,8,1,0,0,0,1,0,0,1,0,1,0,3,True,symptom_variation,0.0,,,
Influenza (Flu),dry cough; high fever; headache; sometimes vomiting diarrhea  more in children; profound fatigue; severe body aches; chills; throat pain,"['dry cough', 'high fever', 'headache', 'sometimes vomiting diarrhea  more in children', 'profound fatigue', 'severe body aches', 'chills', 'throat pain']",8,dry cough high fever headache sometimes vomiting diarrhea  more in children profound fatigue severe body aches chills throat pain,23,1,0,1,0,1,0,0,1,1,0,0,4,True,symptom_variation,1.0,,,
Influenza (Flu),high fever; chills; severe body aches; head pain; dry cough; throat pain; profound fatigue,"['high fever', 'chills', 'severe body aches', 'head pain', 'dry cough', 'throat pain', 'profound fatigue']",7,high fever chills severe body aches head pain dry cough throat pain profound fatigue,23,1,0,0,0,0,0,0,1,1,0,0,2,True,symptom_variation,1.0,,,
Influenza (Flu),throat pain; severe body aches; seizures; chills; sometimes vomiting diarrhea  more in children; high fever; profound fatigue; headache; dry cough,"['throat pain', 'severe body aches', 'seizures', 'chills', 'sometimes vomiting diarrhea  more in children', 'high fever', 'profound fatigue', 'headache', 'dry cough']",9,throat pain severe body aches seizures chills sometimes vomiting diarrhea  more in children high fever profound fatigue headache dry cough,23,1,0,1,0,1,0,0,1,1,0,0,4,True,symptom_variation,1.0,,,
Pneumonia,chest pain when breathing or coughing; chills; high fever; productive cough with phlegm; sweating; shortness of breath,"['chest pain when breathing or coughing', 'chills', 'high fever', 'productive cough with phlegm', 'sweating', 'shortness of breath']",6,chest pain when breathing or coughing chills high fever productive cough with phlegm sweating shortness of breath,35,1,1,0,0,0,0,0,0,1,0,0,2,True,symptom_variation,2.0,,,
Pneumonia,productive cough with phlegm; fatigue; sweating; chest pain when breathing or coughing; chills; difficulty breathing; high fever,"['productive cough with phlegm', 'fatigue', 'sweating', 'chest pain when breathing or coughing', 'chills', 'difficulty breathing', 'high fever']",7,productive cough with phlegm fatigue sweating chest pain when breathing or coughing chills difficulty breathing high fever,35,1,1,0,0,0,0,0,1,1,0,0,3,True,symptom_variation,2.0,,,
Pneumonia,high fever; chest pain when breathing or coughing; shortness of breath; sweating; chills; fatigue,"['high fever', 'chest pain when breathing or coughing', 'shortness of breath', 'sweating', 'chills', 'fatigue']",6,high fever chest pain when breathing or coughing shortness of breath sweating chills fatigue,35,1,1,0,0,0,0,0,1,1,0,0,3,True,symptom_variation,2.0,,,
Bronchitis,shortness of breath; wheezing; low grade fever; fatigue; chest discomfort,"['shortness of breath', 'wheezing', 'low grade fever', 'fatigue', 'chest discomfort']",5,shortness of breath wheezing low grade fever fatigue chest discomfort,4,1,0,0,0,0,0,0,1,0,0,0,2,True,symptom_variation,3.0,,,
Bronchitis,shortness of breath; fatigue; wheezing; chest discomfort; low grade fever,"['shortness of breath', 'fatigue', 'wheezing', 'chest discomfort', 'low grade fever']",5,shortness of breath fatigue wheezing chest discomfort low grade fever,4,1,0,0,0,0,0,0,1,0,0,0,2,True,symptom_variation,3.0,,,
Bronchitis,persistent cough  may produce mucus; wheezing; chest discomfort; low grade fever; shortness of breath; fatigue,"['persistent cough  may produce mucus', 'wheezing', 'chest discomfort', 'low grade fever', 'shortness of breath', 'fatigue']",6,persistent cough  may produce mucus wheezing chest discomfort low grade fever shortness of breath fatigue,4,1,0,0,0,0,0,0,1,0,0,1,2,True,symptom_variation,3.0,,,
Asthma,recurrent wheeze; dyspnea; chest tightness; coughing  worse at night early morning; triggers  allergens  exercise,"['recurrent wheeze', 'dyspnea', 'chest tightness', 'coughing  worse at night early morning', 'triggers  allergens  exercise']",5,recurrent wheeze dyspnea chest tightness coughing  worse at night early morning triggers  allergens  exercise,2,1,0,0,0,0,0,0,0,0,0,1,1,True,symptom_variation,4.0,,,
Asthma,shortness of breath; coughing  worse at night early morning; palpitations; recurrent wheeze; triggers  allergens  exercise; chest tightness,"['shortness of breath', 'coughing  worse at night early morning', 'palpitations', 'recurrent wheeze', 'triggers  allergens  exercise', 'chest tightness']",6,shortness of breath coughing  worse at night early morning palpitations recurrent wheeze triggers  allergens  exercise chest tightness,2,1,1,0,0,0,0,0,0,0,0,1,2,True,symptom_variation,4.0,,,
Asthma,shortness of breath; coughing  worse at night early morning; sneezing; chest tightness; recurrent wheeze; triggers  allergens  exercise,"['shortness of breath', 'coughing  worse at night early morning', 'sneezing', 'chest tightness', 'recurrent wheeze', 'triggers  allergens  exercise']",6,shortness of breath coughing  worse at night early morning sneezing chest tightness recurrent wheeze triggers  allergens  exercise,2,1,0,0,0,0,0,0,0,0,0,1,1,True,symptom_variation,4.0,,,
Allergic Rhinitis (Hay Fever),sneezing; itchy  watery eyes; runny or congested nose; post nasal drip; itchy throat; seasonal or perennial pattern; nasal congestion,"['sneezing', 'itchy  watery eyes', 'runny or congested nose', 'post nasal drip', 'itchy throat', 'seasonal or perennial pattern', 'nasal congestion']",7,sneezing itchy  watery eyes runny or congested nose post nasal drip itchy throat seasonal or perennial pattern nasal congestion,0,1,0,0,0,0,0,0,0,0,0,0,1,True,symptom_variation,5.0,,,
